"full_name","is_generator","total_calls","total_exceptions","total_paths","top1_path_calls","top1_path_ratio","top2_path_calls","top2_path_ratio","top3p_path_calls","top3p_path_ratio"
"cookiecutter.utils.simple_filter.<locals>.SimpleFilterExtension.__init__","False","2","0","1","2","1.0","-1","-1","-1","-1"
"cookiecutter.generate.apply_overwrites_to_context","False","19","2","9","10","0.53","2","0.11","7","0.37"
"cookiecutter.cli.list_installed_templates","False","2","1","2","1","0.5","1","0.5","-1","-1"
"cookiecutter.config.get_config","False","15","3","3","12","0.8","2","0.13","1","0.07"
"cookiecutter.config.merge_configs","False","28","0","3","18","0.64","8","0.29","2","0.07"
"cookiecutter.config._expand_path","False","24","0","1","24","1.0","-1","-1","-1","-1"
"cookiecutter.zipfile.unzip","False","16","9","13","2","0.12","2","0.12","12","0.75"
"cookiecutter.extensions.SlugifyExtension.__init__.<locals>.slugify","False","3","0","1","3","1.0","-1","-1","-1","-1"
"cookiecutter.extensions.UUIDExtension.__init__.<locals>.uuid4","False","3","0","1","3","1.0","-1","-1","-1","-1"
"cookiecutter.exceptions.UndefinedVariableInTemplate.__str__","False","1","0","1","1","1.0","-1","-1","-1","-1"
"cookiecutter.extensions.JsonifyExtension.__init__.<locals>.jsonify","False","1","0","1","1","1.0","-1","-1","-1","-1"
"cookiecutter.extensions.RandomStringExtension.__init__.<locals>.random_ascii_string","False","4","0","2","2","0.5","2","0.5","-1","-1"
"cookiecutter.prompt.prompt_choice_for_config","False","4","1","3","2","0.5","1","0.25","1","0.25"
"cookiecutter.prompt.read_repo_password","False","1","0","1","1","1.0","-1","-1","-1","-1"
"cookiecutter.prompt.read_user_choice","False","6","2","3","4","0.67","1","0.17","1","0.17"
"cookiecutter.prompt.process_json","False","7","2","4","3","0.43","2","0.29","2","0.29"
"cookiecutter.prompt.read_user_dict","False","5","1","2","4","0.8","1","0.2","-1","-1"
"cookiecutter.prompt.read_user_variable","False","1","0","1","1","1.0","-1","-1","-1","-1"
"cookiecutter.prompt.read_user_yes_no","False","1","0","1","1","1.0","-1","-1","-1","-1"
"cookiecutter.utils.force_delete","False","1","0","1","1","1.0","-1","-1","-1","-1"
"cookiecutter.utils.prompt_and_delete","False","8","1","6","2","0.25","2","0.25","4","0.5"
"cookiecutter.replay.load","False","4","3","4","1","0.25","1","0.25","2","0.5"
"cookiecutter.vcs.clone","False","14","7","9","4","0.29","2","0.14","8","0.57"
"cookiecutter.vcs.identify_repo","False","27","5","5","17","0.63","3","0.11","7","0.26"
"cookiecutter.vcs.is_vcs_installed","False","9","0","1","9","1.0","-1","-1","-1","-1"
"full_name","is_generator","total_calls","total_exceptions","total_paths","top1_path_calls","top1_path_ratio","top2_path_calls","top2_path_ratio","top3p_path_calls","top3p_path_ratio"
"csv.Dialect.__init__","False","35","25","1","35","1.0","-1","-1","-1","-1"
"csv.Dialect._validate","False","35","25","2","25","0.71","10","0.29","-1","-1"
"csv.DictReader.__init__","False","134","0","1","134","1.0","-1","-1","-1","-1"
"csv.DictReader.__iter__","False","4","0","1","4","1.0","-1","-1","-1","-1"
"csv.DictReader.__next__","False","29","4","8","11","0.38","4","0.14","14","0.48"
"csv.DictWriter.__init__","False","127","1","2","126","0.99","1","0.01","-1","-1"
"csv.DictWriter.writeheader","False","123","0","1","123","1.0","-1","-1","-1","-1"
"csv.DictWriter.writerow","False","127","2","1","127","1.0","-1","-1","-1","-1"
"csv.DictWriter._dict_to_list","False","129","2","3","126","0.98","2","0.02","1","0.01"
"csv.DictWriter.writerows","False","1","0","1","1","1.0","-1","-1","-1","-1"
"csv.Sniffer.__init__","False","8","0","1","8","1.0","-1","-1","-1","-1"
"csv.Sniffer.sniff","False","28","0","2","14","0.5","14","0.5","-1","-1"
"csv.Sniffer._guess_quote_and_delimiter","False","28","1","5","13","0.46","10","0.36","5","0.18"
"csv.Sniffer._guess_delimiter","False","14","0","5","4","0.29","4","0.29","6","0.43"
"csv.Sniffer.has_header","False","8","6","5","2","0.25","2","0.25","4","0.5"
"full_name","is_generator","total_calls","total_exceptions","total_paths","top1_path_calls","top1_path_ratio","top2_path_calls","top2_path_ratio","top3p_path_calls","top3p_path_ratio"
"dateutil.__getattr__","False","16","1","2","15","0.94","1","0.06","-1","-1"
"dateutil._common.weekday.__init__","False","951","0","1","951","1.0","-1","-1","-1","-1"
"dateutil.tz._common._validate_fromutc_inputs","False","12","0","1","12","1.0","-1","-1","-1","-1"
"dateutil.tz._common.tzname_in_python2","False","24","0","1","24","1.0","-1","-1","-1","-1"
"dateutil.tz._factories._TzSingleton.__call__","False","20","0","2","16","0.8","4","0.2","-1","-1"
"dateutil.tz.tz.tzoffset.__init__","False","52","32","3","32","0.62","16","0.31","4","0.08"
"dateutil.tz.tz.tzstr.__init__","False","75","7","6","43","0.57","16","0.21","16","0.21"
"dateutil.tz.tz.__get_gettz","False","4","0","1","4","1.0","-1","-1","-1","-1"
"dateutil.tz.tz.__get_gettz.<locals>.GettzFunc.__init__","False","4","0","1","4","1.0","-1","-1","-1","-1"
"dateutil.parser._parser.parser.__init__","False","7","0","1","7","1.0","-1","-1","-1","-1"
"dateutil.parser._parser.parserinfo.__init__","False","207","0","1","207","1.0","-1","-1","-1","-1"
"dateutil.parser._parser.parserinfo._convert","False","1449","0","2","828","0.57","621","0.43","-1","-1"
"dateutil.parser.isoparser._takes_ascii","False","8","0","1","8","1.0","-1","-1","-1","-1"
"dateutil.parser.isoparser.isoparser.__init__","False","208","4","4","202","0.97","3","0.01","3","0.01"
"dateutil.parser.__deprecate_private_class","False","6","0","1","6","1.0","-1","-1","-1","-1"
"dateutil.parser.__deprecated_private_func","False","2","0","1","2","1.0","-1","-1","-1","-1"
"dateutil.rrule.weekday.__init__","False","776","1","2","775","1.0","1","0.0","-1","-1"
"dateutil.rrule._invalidates_cache","False","8","0","1","8","1.0","-1","-1","-1","-1"
"dateutil.tz._factories._TzOffsetFactory.__call__","False","368","0","7","271","0.74","32","0.09","65","0.18"
"dateutil.tz._factories._TzFactory.instance","False","119","7","1","119","1.0","-1","-1","-1","-1"
"dateutil.tz.tz._get_supported_offset","False","6492","0","1","6492","1.0","-1","-1","-1","-1"
"dateutil.tz.tz.tzutc.utcoffset","False","209","0","1","209","1.0","-1","-1","-1","-1"
"dateutil._common.weekday.__call__","False","436","1","2","305","0.7","131","0.3","-1","-1"
"dateutil.relativedelta.relativedelta.__init__","False","400","13","16","357","0.89","8","0.02","35","0.09"
"dateutil.relativedelta.relativedelta._fix","False","394","0","12","147","0.37","131","0.33","116","0.29"
"dateutil.tz.tz.tzrange.__init__","False","102","95","13","29","0.28","18","0.18","55","0.54"
"dateutil.relativedelta.relativedelta.__bool__","False","126","0","4","116","0.92","5","0.04","5","0.04"
"dateutil.tz.tz.__get_gettz.<locals>.GettzFunc.__call__","False","112","2","6","71","0.63","17","0.15","24","0.21"
"dateutil.tz.tz.__get_gettz.<locals>.GettzFunc.nocache","False","41","8","7","28","0.68","6","0.15","7","0.17"
"dateutil.tz.tz.tzfile.__init__","False","1225","1","6","1164","0.95","35","0.03","26","0.02"
"dateutil.tz.tz._tzfile.__init__","False","1213","0","1","1213","1.0","-1","-1","-1","-1"
"dateutil.tz.tz._ttinfo.__init__","False","6444","0","1","6444","1.0","-1","-1","-1","-1"
"dateutil.tz.tz.datetime_exists","False","65","1","3","40","0.62","24","0.37","1","0.02"
"dateutil.tz.tz.tzfile.utcoffset","False","438","0","2","436","1.0","2","0.0","-1","-1"
"dateutil.tz.tz.tzfile._find_ttinfo","False","483","0","1","483","1.0","-1","-1","-1","-1"
"dateutil.tz.tz.tzfile._resolve_ambiguous_time","False","483","0","2","478","0.99","5","0.01","-1","-1"
"dateutil.tz.tz.tzfile._find_last_transition","False","566","0","2","563","0.99","3","0.01","-1","-1"
"dateutil.tz.tz._datetime_to_timestamp","False","1314","0","1","1314","1.0","-1","-1","-1","-1"
"dateutil.tz._common._tzinfo._fold","False","969","0","1","969","1.0","-1","-1","-1","-1"
"dateutil.tz.tz.tzfile.is_ambiguous","False","411","0","4","262","0.64","130","0.32","19","0.05"
"dateutil.tz.tz.tzfile._get_ttinfo","False","1238","0","3","702","0.57","343","0.28","193","0.16"
"dateutil.tz.tz.tzutc.fromutc","False","213","0","2","124","0.58","89","0.42","-1","-1"
"dateutil.tz.tz.tzfile.fromutc","False","64","0","1","64","1.0","-1","-1","-1","-1"
"dateutil.tz._common.enfold","False","317","0","1","317","1.0","-1","-1","-1","-1"
"dateutil.tz.tz.tzutc.__repr__","False","9","0","1","9","1.0","-1","-1","-1","-1"
"dateutil.tz.tz.tzfile.__repr__","False","7","0","1","7","1.0","-1","-1","-1","-1"
"dateutil.easter.easter","False","1612","1","4","1510","0.94","61","0.04","41","0.03"
"dateutil.parser._parser._ymd.__init__","False","1160","0","1","1160","1.0","-1","-1","-1","-1"
"dateutil.parser._parser._ymd.append","False","3302","0","6","1515","0.46","776","0.24","1011","0.31"
"dateutil.parser._parser._ymd.could_be_day","False","10","0","4","4","0.4","4","0.4","2","0.2"
"dateutil.parser.__deprecate_private_class.<locals>.private_class.__init__","False","2","0","1","2","1.0","-1","-1","-1","-1"
"dateutil.parser._parser._timelex.__init__","False","1162","2","4","1154","0.99","4","0.0","4","0.0"
"dateutil.parser._parser._parsetz","False","73","0","1","73","1.0","-1","-1","-1","-1"
"dateutil.parser._parser._tzparser.parse","False","73","4","30","18","0.25","12","0.16","43","0.59"
"dateutil.parser._parser._tzparser._result.__init__","False","1452","0","2","1379","0.95","73","0.05","-1","-1"
"dateutil.tz._factories._TzStrFactory.__call__","False","109","7","5","47","0.43","46","0.42","16","0.15"
"dateutil.tz.tz.tzstr._delta","False","88","0","12","21","0.24","16","0.18","51","0.58"
"dateutil.relativedelta._sign","False","204","0","1","204","1.0","-1","-1","-1","-1"
"dateutil.relativedelta.relativedelta.__ne__","False","3","0","1","3","1.0","-1","-1","-1","-1"
"dateutil.relativedelta.relativedelta.__eq__","False","106","0","7","56","0.53","35","0.33","15","0.14"
"dateutil.parser.isoparser.isoparser.isoparse","False","475","30","6","395","0.83","45","0.09","35","0.07"
"dateutil.parser.isoparser.isoparser._parse_isodate","False","505","46","2","459","0.91","46","0.09","-1","-1"
"dateutil.parser.isoparser.isoparser._parse_isodate_common","False","505","46","13","306","0.61","140","0.28","59","0.12"
"dateutil.tz.tz.tzoffset.dst","False","158","0","1","158","1.0","-1","-1","-1","-1"
"dateutil.parser.isoparser.isoparser._parse_isotime","False","563","25","26","195","0.35","66","0.12","302","0.54"
"dateutil.parser.isoparser.isoparser._parse_tzstr","False","383","15","14","200","0.52","74","0.19","109","0.28"
"dateutil.tz.tz.tzutc.dst","False","63","0","1","63","1.0","-1","-1","-1","-1"
"dateutil.tz.tz.tzoffset.utcoffset","False","173","0","1","173","1.0","-1","-1","-1","-1"
"dateutil.parser.isoparser.isoparser._parse_isodate_uncommon","False","46","19","11","13","0.28","8","0.17","25","0.54"
"dateutil.parser.isoparser.isoparser._calculate_weekdate","False","18","4","3","14","0.78","2","0.11","2","0.11"
"dateutil.parser.isoparser.isoparser.parse_tzstr","False","17","5","1","17","1.0","-1","-1","-1","-1"
"dateutil.tz.tz.tzutc.__eq__","False","21","0","3","9","0.43","9","0.43","3","0.14"
"dateutil.tz.tz.tzoffset.__eq__","False","20","0","2","12","0.6","8","0.4","-1","-1"
"dateutil.parser.isoparser.isoparser.parse_isodate","False","30","8","3","23","0.77","4","0.13","3","0.1"
"dateutil.parser.isoparser.isoparser.parse_isotime","False","151","17","3","130","0.86","13","0.09","8","0.05"
"dateutil.parser._parser.parse","False","1156","36","2","1155","1.0","1","0.0","-1","-1"
"dateutil.parser._parser.parser.parse","False","1160","36","10","966","0.83","99","0.09","95","0.08"
"dateutil.parser._parser.parser._parse","False","1160","1013","47","633","0.55","151","0.13","376","0.32"
"dateutil.parser._parser._timelex.__iter__","False","1158","0","1","1158","1.0","-1","-1","-1","-1"
"dateutil.parser._parser._timelex.__next__","False","9775","1158","2","8617","0.88","1158","0.12","-1","-1"
"dateutil.parser._parser._timelex.get_token","False","9775","0","42","2546","0.26","1690","0.17","5539","0.57"
"dateutil.parser._parser.parserinfo.weekday","False","2614","2180","2","2180","0.83","434","0.17","-1","-1"
"dateutil.parser._parser.parserinfo.month","False","2885","2177","2","2177","0.75","708","0.25","-1","-1"
"dateutil.parser._parser.parserinfo.ampm","False","2252","2167","2","2167","0.96","85","0.04","-1","-1"
"dateutil.parser._parser.parser._could_be_tzname","False","1817","322","6","1437","0.79","322","0.18","58","0.03"
"dateutil.parser._parser.parserinfo.jump","False","2492","0","1","2492","1.0","-1","-1","-1","-1"
"dateutil.parser._parser.parserinfo.pertain","False","175","0","1","175","1.0","-1","-1","-1","-1"
"dateutil.parser._parser.parser._parse_numeric_token","False","2350","3","28","622","0.26","403","0.17","1325","0.56"
"dateutil.parser._parser.parser._to_decimal","False","2894","2","3","2892","1.0","1","0.0","1","0.0"
"dateutil.parser._parser.parser._find_hms_idx","False","1576","0","7","902","0.57","323","0.2","351","0.22"
"dateutil.parser._parser.parserinfo.hms","False","3019","2888","2","2888","0.96","131","0.04","-1","-1"
"dateutil.parser._parser.parser._parse_min_sec","False","516","0","2","514","1.0","2","0.0","-1","-1"
"dateutil.parser._parser.parser._parsems","False","866","0","2","841","0.97","25","0.03","-1","-1"
"dateutil.parser._parser._ymd.resolve_ymd","False","1147","4","15","672","0.59","359","0.31","116","0.1"
"dateutil.parser._parser._ymd._resolve_from_stridxs","False","371","0","2","359","0.97","12","0.03","-1","-1"
"dateutil.parser._parser.parserinfo.validate","False","1143","0","5","1080","0.94","51","0.04","12","0.01"
"dateutil.parser._parser.parserinfo.convertyear","False","1295","0","3","1168","0.9","98","0.08","29","0.02"
"dateutil.parser._parser._resultbase.__len__","False","1143","0","1","1143","1.0","-1","-1","-1","-1"
"dateutil.parser._parser.parser._build_naive","False","1142","17","8","1071","0.94","47","0.04","24","0.02"
"dateutil.parser._parser.parser._build_tzaware","False","1025","1","9","998","0.97","9","0.01","18","0.02"
"dateutil.parser._parser.parser._ampm_valid","False","38","5","6","22","0.58","7","0.18","9","0.24"
"dateutil.parser._parser.parser._adjust_ampm","False","26","0","3","14","0.54","9","0.35","3","0.12"
"dateutil.parser._parser.parser._parse_hms","False","43","0","2","36","0.84","7","0.16","-1","-1"
"dateutil.parser._parser.parser._assign_hms","False","43","0","4","16","0.37","14","0.33","13","0.3"
"dateutil.relativedelta.relativedelta.__radd__","False","726","0","1","726","1.0","-1","-1","-1","-1"
"dateutil.relativedelta.relativedelta.__add__","False","736","0","13","221","0.3","220","0.3","295","0.4"
"dateutil.parser._parser.parserinfo.tzoffset","False","28","0","2","27","0.96","1","0.04","-1","-1"
"dateutil.parser._parser.parserinfo.utczone","False","23","0","1","23","1.0","-1","-1","-1","-1"
"dateutil.parser._parser.parser._build_tzinfo","False","10","1","6","3","0.3","3","0.3","4","0.4"
"dateutil.parser._parser.parser._assign_tzname","False","13","0","3","7","0.54","4","0.31","2","0.15"
"dateutil.tz.tz.tzutc.tzname","False","2","0","1","2","1.0","-1","-1","-1","-1"
"dateutil.tz._common.tzrangebase.tzname","False","46","0","2","23","0.5","23","0.5","-1","-1"
"dateutil.tz._common.tzrangebase._isdst","False","157","0","4","88","0.56","58","0.37","11","0.07"
"dateutil.tz.tz.tzoffset.tzname","False","4","0","1","4","1.0","-1","-1","-1","-1"
"dateutil.parser._parser.ParserError.__str__","False","19","0","1","19","1.0","-1","-1","-1","-1"
"dateutil.parser._parser.parser._recombine_skipped","False","5","0","1","5","1.0","-1","-1","-1","-1"
"dateutil.parser._parser._resultbase.__repr__","False","10","0","1","10","1.0","-1","-1","-1","-1"
"dateutil.parser._parser._resultbase._repr","False","10","0","1","10","1.0","-1","-1","-1","-1"
"dateutil.tz.tz.tzlocal.__init__","False","75","0","2","40","0.53","35","0.47","-1","-1"
"dateutil.tz.tz.tzlocal.tzname","False","23","0","1","23","1.0","-1","-1","-1","-1"
